,Material,Space Group,ehull,Z_x,Electronegativity_x,IonizationPotential_x,ElectronAffinity_x,HOMO_x,LUMO_x,r_s_orbital_x,r_p_orbital_x,r_d_orbital_x,r_atomic_nonbonded_x,r_valence_lastorbital_x,r_covalent_x,Valence_x,PeriodicColumn_x,PeriodicColumn_upto18_x,NumberUnfilledOrbitals_x,Polarizability_x,Z_y,Electronegativity_y,IonizationPotential_y,ElectronAffinity_y,HOMO_y,LUMO_y,r_s_orbital_y,r_p_orbital_y,r_d_orbital_y,r_atomic_nonbonded_y,r_valence_lastorbital_y,r_covalent_y,Valence_y,PeriodicColumn_y,PeriodicColumn_upto18_y,NumberUnfilledOrbitals_y,Polarizability_y
0,AgBr2,P-4m2,0.10287897121201645,47,1.93,-7.8182,-1.2721,-4.4022,0.9657,1.3241,1.4180000000000001,0.5486,1.53,1.3241,1.45,11.0,1.0,11.0,1.0,52.5,35,2.96,-12.5044,-3.515,-7.8585,5.4193,0.7514,0.8834,0.2281,1.14,0.8834,1.2,17.0,7.0,17.0,1.0,21.8
1,AlBr2,P-3m1,0.41721392837092186,13,1.61,-5.7176,0.0364,-2.7119999999999997,3.1169,1.1043,1.3965,1.7101,1.18,1.3965,1.21,3.0,3.0,13.0,5.0,55.4,35,2.96,-12.5044,-3.515,-7.8585,5.4193,0.7514,0.8834,0.2281,1.14,0.8834,1.2,17.0,7.0,17.0,1.0,21.8
2,AsBr2,P-6m2,0.49425025052750426,33,2.18,-9.0974,-1.6025,-5.1964,4.1976,0.8558,1.0507,0.2524,1.19,1.0507,1.19,15.0,5.0,15.0,3.0,29.8,35,2.96,-12.5044,-3.515,-7.8585,5.4193,0.7514,0.8834,0.2281,1.14,0.8834,1.2,17.0,7.0,17.0,1.0,21.8
3,AsBr2,P-3m1,0.6047452724585256,33,2.18,-9.0974,-1.6025,-5.1964,4.1976,0.8558,1.0507,0.2524,1.19,1.0507,1.19,15.0,5.0,15.0,3.0,29.8,35,2.96,-12.5044,-3.515,-7.8585,5.4193,0.7514,0.8834,0.2281,1.14,0.8834,1.2,17.0,7.0,17.0,1.0,21.8
4,AuBr2,P-4m2,0.13196976307324498,79,2.54,-9.3842,-2.3142,-5.7531,0.7024,1.2274,1.4369,0.6436,1.44,1.2274,1.36,25.0,1.0,11.0,1.0,36.1,35,2.96,-12.5044,-3.515,-7.8585,5.4193,0.7514,0.8834,0.2281,1.14,0.8834,1.2,17.0,7.0,17.0,1.0,21.8
5,BaBr2,P-3m1,0.056444759765483354,56,0.89,-5.3475,1.0568,-3.2293,-1.9206,2.1967,2.3694,1.2663,1.98,2.1967,2.15,2.0,2.0,2.0,0.0,272.7,35,2.96,-12.5044,-3.515,-7.8585,5.4193,0.7514,0.8834,0.2281,1.14,0.8834,1.2,17.0,7.0,17.0,1.0,21.8
6,BaBr2,P-4m2,0.2443957757887083,56,0.89,-5.3475,1.0568,-3.2293,-1.9206,2.1967,2.3694,1.2663,1.98,2.1967,2.15,2.0,2.0,2.0,0.0,272.7,35,2.96,-12.5044,-3.515,-7.8585,5.4193,0.7514,0.8834,0.2281,1.14,0.8834,1.2,17.0,7.0,17.0,1.0,21.8
7,BaBr2,P-6m2,0.16706268783939082,56,0.89,-5.3475,1.0568,-3.2293,-1.9206,2.1967,2.3694,1.2663,1.98,2.1967,2.15,2.0,2.0,2.0,0.0,272.7,35,2.96,-12.5044,-3.515,-7.8585,5.4193,0.7514,0.8834,0.2281,1.14,0.8834,1.2,17.0,7.0,17.0,1.0,21.8
8,BiBr2,P-3m1,0.38733968159067994,83,2.02,-7.8723,-1.5162,-4.5686,2.1526,0.9899,1.3017,0.5469,1.46,1.3017,1.48,29.0,5.0,15.0,3.0,50.0,35,2.96,-12.5044,-3.515,-7.8585,5.4193,0.7514,0.8834,0.2281,1.14,0.8834,1.2,17.0,7.0,17.0,1.0,21.8
9,BiBr2,P-6m2,0.2970761062309009,83,2.02,-7.8723,-1.5162,-4.5686,2.1526,0.9899,1.3017,0.5469,1.46,1.3017,1.48,29.0,5.0,15.0,3.0,50.0,35,2.96,-12.5044,-3.515,-7.8585,5.4193,0.7514,0.8834,0.2281,1.14,0.8834,1.2,17.0,7.0,17.0,1.0,21.8
